//Detector coordinates w.r.t CS002 LBA antenna 1
//Det no.	X Cord(m)	Y Cord(m)	Z Cord(m)
   1		   11.21	  -94.07	    0.00
   2		  -29.79	  -83.07	    0.00
   3		  -57.79	 -125.07	    0.00
   4		   -3.79	 -158.07	    0.00
   5		 -120.79	    3.93	    0.00
   6		  -82.79	  -40.07	    0.00
   7		 -162.79	  -26.07	    0.00
   8		 -134.79	  -74.07	    0.00
   9		   78.21	   75.93	    0.00
  10		  155.21	   50.93	    0.00
  11		  112.21	   24.93	    0.00
  12		  133.21	  100.93	    0.00
  13		   74.21	 -121.07	    0.00
  14		  118.21	  -93.07	    0.00
  15		   41.21	  -76.07	    0.00
  16		   80.21	  -40.07	    0.00
  17		  -53.79	  129.93	    0.00
  18		    3.21	  111.93	    0.00
  19		   -2.79	   61.93	    0.00
  20		  -48.79	   56.93	    0.00
